slug,display_name,rendered_hero,team,characters,region,tournament_results,related_videos,sources,classification,notes
john-takeuchi,John Takeuchi,,DetonatioN FocusMe,ジェイミー:reference,JP,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
kilzyou,Kilzyou,,,不知火舞:main,FR,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
lexx,Lexx,,,ガイル:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
linknova,LinkNova,,,イングリッド:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
raihan-yasmine,lllRaihanlll,,,ヤスミン:secondary,BD,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
lsecto,lSecto,,,アレックス:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
lugabo,LUGABO,,,キンバリー:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
micky,Micky,公開プロフィールでMai Shiranuiとの関係を確認できるTeam Falcons所属のMicky選手です。,,不知火舞:main,HK,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
mister-crimson,Mister Crimson,公開プロフィールでC. Viperとの関係を確認できるMister Crimson選手です。,,C.ヴァイパー:main,FR,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
mysticsmash,MysticSmash,,,エレナ:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
naruo,Naruo,,DetonatioN FocusMe,ジェイミー:reference,JP,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
nemo,Nemo,公開プロフィールでAlexとの関係を確認できるSaishunkan Sol Kumamoto所属のNemo選手です。,Saishunkan Sol Kumamoto,アレックス:main,JP,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
noahtheprodigy,NoahTheProdigy,公開プロフィールでLukeとの関係を確認できるプレイヤーです。,,ルーク:reference,North America,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
nychrisg,NYChrisG,,,春麗:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
psycho,Psycho,,,キンバリー:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
sako,sako,公開プロフィールでIngridとの関係を確認できるsako選手です。,,イングリッド:main,JP,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
shadyimpostor,ShadyImpostor,,,アレックス:main,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
shine,Shine,,,キンバリー:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
shuto,Shuto,公開プロフィールでリュウとの関係を確認できるプレイヤーです。,Crazy Raccoon,リュウ:reference,Japan,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
tachikawa,Tachikawa,,Crazy Raccoon,C.ヴァイパー:main | ヤスミン:secondary,JP,0,0,2,DATA_MISSING,自然な共通Fallbackを表示
takepi,takepi,公開情報でJPとの関係を確認できる競技プレイヤーです。,Team iXA,JP:main,Japan,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
watyawacha,watyawacha,公開プロフィールでLukeとの関係を確認できるプレイヤーです。,,ルーク:reference,Japan,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
wawa,Wawa,,,春麗:reference,,0,0,1,DATA_MISSING,自然な共通Fallbackを表示
yamaguchi,Yamaguchi,公開プロフィールでMai Shiranuiとの関係を確認できるZETA DIVISION所属のYamaguchi選手です。,ZETA DIVISION,不知火舞:main,JP,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
tantanmen,タンタンメン,公開プロフィールでJamieとの関係を確認できるLa VISION所属のタンタンメン選手です。,La VISION,ジェイミー:reference,JP,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
tokido,ときど,公開情報でJPとの関係を確認できるプロプレイヤーです。,VARREL,JP:main,Japan,0,0,3,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
ryusei,りゅうせい,公開プロフィールでJPとの関係を確認できる競技プレイヤーです。,SCARZ,JP:main,Japan,0,0,1,CONSISTENT_AFTER_SAFE_COPY,大会結果・関連動画を断定しない表示へ変換
